승인일자,가맹점,금액,카드번호 뒤 4자리,사용자
2026-07-03,투썸플레이스 선릉점,23500,4448,정예린
2026-07-03,티머니 충전,32500,4471,윤채원
2026-07-03,티머니 충전,51600,4465,강지호
2026-07-03,파킹클라우드 역삼,47300,4423,박도윤
2026-07-03,파킹클라우드 역삼,68700,4483,임시우
2026-07-03,하남돼지집 삼성점,452000,4417,김서연
2026-07-03,하남돼지집 삼성점,459000,4448,정예린
2026-07-03,하이패스 자동결제,82400,4423,박도윤
2026-07-03,호텔현대 울산,93000,4423,박도윤
2026-07-04,광화문곱창 강남,275000,4496,오하은
2026-07-04,서울개인택시조합,4800,4452,최민서
2026-07-04,서울개인택시조합,19700,4417,김서연
2026-07-04,쿠팡비즈,61200,4502,한지훈
2026-07-04,파킹클라우드 역삼,62200,4423,박도윤
2026-07-04,하이패스 자동결제,31700,4448,정예린
2026-07-05,Adobe Creative Cloud,82500,4417,김서연
2026-07-05,SRT 수서역,48600,4465,강지호
2026-07-05,김가네 선릉점,63000,4452,최민서
2026-07-05,신라스테이 역삼,141000,4423,박도윤
2026-07-05,이디야커피 역삼점,42000,4417,김서연
2026-07-05,티머니 충전,39400,4518,서준영
2026-07-06,SRT 수서역,51500,4448,정예린
2026-07-06,SRT 수서역,84800,4448,정예린
2026-07-06,SRT 수서역,88800,4431,이하준
2026-07-06,광화문곱창 강남,457000,4496,오하은
2026-07-06,교보문고 광화문,298100,4518,서준영
2026-07-06,교보문고 광화문,325700,4423,박도윤
2026-07-06,김가네 선릉점,30500,4471,윤채원
2026-07-06,김가네 선릉점,37000,4483,임시우
2026-07-06,김밥천국 역삼점,51000,4448,정예린
2026-07-06,다이소 역삼점,16700,4502,한지훈
2026-07-06,명동칼국수 강남점,22000,4518,서준영
2026-07-06,명동칼국수 강남점,41500,4496,오하은
2026-07-06,명동칼국수 강남점,47000,4417,김서연
2026-07-06,명동칼국수 강남점,48000,4496,오하은
2026-07-06,명동칼국수 강남점,87000,4496,오하은
2026-07-06,미도인 역삼,31000,4431,이하준
2026-07-06,미도인 역삼,80500,4496,오하은
2026-07-06,미도인 역삼,84500,4465,강지호
2026-07-06,본죽 삼성점,42500,4431,이하준
2026-07-06,본죽 삼성점,52500,4518,서준영
2026-07-06,삼원가든 신사,403000,4483,임시우
2026-07-06,서브웨이 강남파이낸스,76000,4465,강지호
2026-07-06,서울개인택시조합,5700,4496,오하은
2026-07-06,서울개인택시조합,11200,4448,정예린
2026-07-06,스타벅스 삼성점,38000,4471,윤채원
2026-07-06,알파문구 선릉,10400,4423,박도윤
2026-07-06,역삼포차,218000,4496,오하은
2026-07-06,역삼포차,268000,4452,최민서
2026-07-06,역삼포차,367000,4417,김서연
2026-07-06,영풍문고 종로,173900,4452,최민서
2026-07-06,영풍문고 종로,222600,4502,한지훈
2026-07-06,오피스디포 강남점,12000,4465,강지호
2026-07-06,오피스디포 강남점,56600,4448,정예린
2026-07-06,이디야커피 역삼점,41000,4518,서준영
2026-07-06,일렉트로마트 강남,97700,4431,이하준
2026-07-06,일렉트로마트 강남,109300,4502,한지훈
2026-07-06,카카오T 블루,85000,4417,김서연
2026-07-06,코레일 서울역,84200,4518,서준영
2026-07-06,투썸플레이스 선릉점,26500,4417,김서연
2026-07-06,파킹클라우드 역삼,48400,4448,정예린
2026-07-06,파킹클라우드 역삼,96000,4502,한지훈
2026-07-06,하남돼지집 삼성점,432000,4448,정예린
2026-07-06,하이패스 자동결제,77100,4448,정예린
2026-07-06,한솥도시락 역삼,17000,4496,오하은
2026-07-06,한솥도시락 역삼,43500,4423,박도윤
2026-07-06,한솥도시락 역삼,75500,4452,최민서
2026-07-06,한솥도시락 역삼,86000,4502,한지훈
2026-07-06,한우다이닝 청담,285000,4452,최민서
2026-07-06,한우다이닝 청담,351000,4496,오하은
2026-07-07,SRT 수서역,49600,4471,윤채원
2026-07-07,김가네 선릉점,8500,4518,서준영
2026-07-07,김가네 선릉점,45000,4496,오하은
2026-07-07,김밥천국 역삼점,18000,4502,한지훈
2026-07-07,김밥천국 역삼점,86000,4423,박도윤
2026-07-07,다이소 역삼점,31000,4483,임시우
2026-07-07,다이소 역삼점,58500,4448,정예린
2026-07-07,다이소 역삼점,90900,4518,서준영
2026-07-07,다이소 역삼점,102100,4524,조유나
2026-07-07,미도인 역삼,13000,4502,한지훈
2026-07-07,베스트웨스턴 구로,132000,4524,조유나
2026-07-07,본죽 삼성점,50000,4417,김서연
2026-07-07,서브웨이 강남파이낸스,56000,4518,서준영
2026-07-07,서브웨이 강남파이낸스,59000,4417,김서연
2026-07-07,서울개인택시조합,80000,4496,오하은
2026-07-07,스시조 소공,450000,4518,서준영
2026-07-07,스시조 소공,612000,4431,이하준
2026-07-07,스타벅스 삼성점,7000,4524,조유나
2026-07-07,스타벅스 삼성점,80500,4518,서준영
2026-07-07,알파문구 선릉,31700,4465,강지호
2026-07-07,역삼포차,323000,4431,이하준
2026-07-07,이디야커피 역삼점,19500,4452,최민서
2026-07-07,인프런,43400,4496,오하은
2026-07-07,일렉트로마트 강남,111100,4524,조유나
2026-07-07,카카오T 블루,6600,4496,오하은
2026-07-07,코레일 서울역,34400,4448,정예린
2026-07-07,티머니 충전,48500,4452,최민서
2026-07-07,티머니 충전,52000,4524,조유나
2026-07-07,티머니 충전,71500,4423,박도윤
2026-07-07,파킹클라우드 역삼,82400,4448,정예린
2026-07-07,하남돼지집 삼성점,168000,4518,서준영
2026-07-07,하남돼지집 삼성점,200000,4465,강지호
2026-07-07,하이패스 자동결제,95700,4471,윤채원
2026-07-07,한솥도시락 역삼,52500,4417,김서연
2026-07-07,한솥도시락 역삼,64500,4483,임시우
2026-07-07,한솥도시락 역삼,83500,4471,윤채원
2026-07-07,한우다이닝 청담,532000,4496,오하은
2026-07-08,SRT 수서역,50200,4465,강지호
2026-07-08,SRT 수서역,87100,4452,최민서
2026-07-08,김밥천국 역삼점,26500,4502,한지훈
2026-07-08,김밥천국 역삼점,77500,4496,오하은
2026-07-08,김밥천국 역삼점,88000,4496,오하은
2026-07-08,명동칼국수 강남점,18500,4471,윤채원
2026-07-08,명동칼국수 강남점,67000,4431,이하준
2026-07-08,명동칼국수 강남점,78500,4465,강지호
2026-07-08,미도인 역삼,46500,4448,정예린
2026-07-08,베스트웨스턴 구로,88000,4417,김서연
2026-07-08,본죽 삼성점,11000,4452,최민서
2026-07-08,본죽 삼성점,11500,4431,이하준
2026-07-08,본죽 삼성점,70500,4471,윤채원
2026-07-08,서브웨이 강남파이낸스,71000,4417,김서연
2026-07-08,서울개인택시조합,34400,4452,최민서
2026-07-08,서울개인택시조합,75700,4448,정예린
2026-07-08,스시조 소공,286000,4471,윤채원
2026-07-08,스타벅스 삼성점,13500,4471,윤채원
2026-07-08,스타벅스 삼성점,25000,4483,임시우
2026-07-08,스타벅스 삼성점,45500,4496,오하은
2026-07-08,스타벅스 삼성점,57500,4423,박도윤
2026-07-08,알파문구 선릉,51800,4502,한지훈
2026-07-08,오피스디포 강남점,87900,4465,강지호
2026-07-08,오피스디포 강남점,123000,4518,서준영
2026-07-08,이디야커피 역삼점,15000,4417,김서연
2026-07-08,이디야커피 역삼점,62000,4518,서준영
2026-07-08,일렉트로마트 강남,63300,4452,최민서
2026-07-08,카카오T 블루,38900,4471,윤채원
2026-07-08,코레일 서울역,81600,4471,윤채원
2026-07-08,티머니 충전,47800,4465,강지호
2026-07-08,티머니 충전,48400,4423,박도윤
2026-07-08,하남돼지집 삼성점,334000,4502,한지훈
2026-07-08,하남돼지집 삼성점,479000,4417,김서연
2026-07-08,하이패스 자동결제,7600,4452,최민서
2026-07-08,하이패스 자동결제,20200,4423,박도윤
2026-07-08,하이패스 자동결제,29500,4518,서준영
2026-07-08,하이패스 자동결제,42800,4423,박도윤
2026-07-08,하이패스 자동결제,61400,4524,조유나
2026-07-08,한솥도시락 역삼,7500,4502,한지훈
2026-07-08,한솥도시락 역삼,12500,4423,박도윤
2026-07-08,한솥도시락 역삼,38500,4423,박도윤
2026-07-08,한솥도시락 역삼,75500,4471,윤채원
2026-07-09,SRT 수서역,41700,4423,박도윤
2026-07-09,광화문곱창 강남,284000,4524,조유나
2026-07-09,김가네 선릉점,35500,4431,이하준
2026-07-09,김밥천국 역삼점,58500,4465,강지호
2026-07-09,김밥천국 역삼점,74500,4431,이하준
2026-07-09,다이소 역삼점,38100,4423,박도윤
2026-07-09,다이소 역삼점,126600,4471,윤채원
2026-07-09,라마다 대전,95000,4417,김서연
2026-07-09,미도인 역삼,55500,4431,이하준
2026-07-09,본죽 삼성점,12500,4423,박도윤
2026-07-09,서브웨이 강남파이낸스,66500,4452,최민서
2026-07-09,서울개인택시조합,87400,4452,최민서
2026-07-09,스시조 소공,282000,4496,오하은
2026-07-09,스타벅스 삼성점,80000,4423,박도윤
2026-07-09,스타벅스 삼성점,90500,4483,임시우
2026-07-09,알라딘 중고서점 강남,249100,4431,이하준
2026-07-09,알라딘 중고서점 강남,312200,4496,오하은
2026-07-09,알파문구 선릉,97100,4423,박도윤
2026-07-09,역삼포차,277000,4471,윤채원
2026-07-09,역삼포차,411000,4502,한지훈
2026-07-09,영풍문고 종로,126400,4465,강지호
2026-07-09,오피스디포 강남점,76700,4448,정예린
2026-07-09,오피스디포 강남점,127600,4518,서준영
2026-07-09,이디야커피 역삼점,11500,4471,윤채원
2026-07-09,이디야커피 역삼점,40500,4483,임시우
2026-07-09,이디야커피 역삼점,63500,4471,윤채원
2026-07-09,이디야커피 역삼점,86500,4423,박도윤
2026-07-09,인프런,195400,4423,박도윤
2026-07-09,인프런,199800,4423,박도윤
2026-07-09,일렉트로마트 강남,103500,4452,최민서
2026-07-09,청담물갈비,410000,4483,임시우
2026-07-09,카카오T 블루,21400,4423,박도윤
2026-07-09,카카오T 블루,34700,4471,윤채원
2026-07-09,카카오T 블루,48700,4496,오하은
2026-07-09,카카오T 블루,50500,4452,최민서
2026-07-09,코레일 서울역,8400,4465,강지호
2026-07-09,코레일 서울역,13200,4524,조유나
2026-07-09,코레일 서울역,31900,4483,임시우
2026-07-09,코레일 서울역,55700,4496,오하은
2026-07-09,쿠팡비즈,24100,4465,강지호
2026-07-09,투썸플레이스 선릉점,8000,4423,박도윤
2026-07-09,투썸플레이스 선릉점,52500,4496,오하은
2026-07-09,투썸플레이스 선릉점,64500,4518,서준영
2026-07-09,파킹클라우드 역삼,63000,4417,김서연
2026-07-09,파킹클라우드 역삼,92400,4465,강지호
2026-07-09,하남돼지집 삼성점,132000,4465,강지호
2026-07-09,하이패스 자동결제,38500,4483,임시우
2026-07-09,호텔현대 울산,108000,4417,김서연
2026-07-09,호텔현대 울산,114000,4483,임시우
2026-07-10,SRT 수서역,72900,4471,윤채원
2026-07-10,Slack Technologies,129600,4417,김서연
2026-07-10,김가네 선릉점,29500,4431,이하준
2026-07-10,다이소 역삼점,111000,4483,임시우
2026-07-10,명동칼국수 강남점,29000,4483,임시우
2026-07-10,명동칼국수 강남점,78000,4524,조유나
2026-07-10,본죽 삼성점,37000,4524,조유나
2026-07-10,본죽 삼성점,48500,4496,오하은
2026-07-10,본죽 삼성점,54500,4417,김서연
2026-07-10,삼원가든 신사,391000,4465,강지호
2026-07-10,서브웨이 강남파이낸스,8000,4471,윤채원
2026-07-10,서브웨이 강남파이낸스,59500,4452,최민서
2026-07-10,서울개인택시조합,80200,4423,박도윤
2026-07-10,스타벅스 삼성점,43500,4452,최민서
2026-07-10,스타벅스 삼성점,67000,4524,조유나
2026-07-10,스타벅스 삼성점,87000,4502,한지훈
2026-07-10,스타벅스 삼성점,92000,4423,박도윤
2026-07-10,알라딘 중고서점 강남,202800,4448,정예린
2026-07-10,역삼포차,214000,4502,한지훈
2026-07-10,오피스디포 강남점,6400,4518,서준영
2026-07-10,오피스디포 강남점,26200,4524,조유나
2026-07-10,오피스디포 강남점,65100,4483,임시우
2026-07-10,일렉트로마트 강남,27700,4502,한지훈
2026-07-10,청담물갈비,177000,4465,강지호
2026-07-10,청담물갈비,186000,4502,한지훈
2026-07-10,카카오T 블루,26900,4471,윤채원
2026-07-10,카카오T 블루,46100,4518,서준영
2026-07-10,코레일 서울역,44900,4502,한지훈
2026-07-10,코레일 서울역,71300,4465,강지호
2026-07-10,코레일 서울역,80400,4431,이하준
2026-07-10,쿠팡비즈,9800,4496,오하은
2026-07-10,투썸플레이스 선릉점,34000,4465,강지호
2026-07-10,파킹클라우드 역삼,20200,4431,이하준
2026-07-10,파킹클라우드 역삼,43500,4518,서준영
2026-07-10,파킹클라우드 역삼,52500,4496,오하은
2026-07-10,하이패스 자동결제,46300,4471,윤채원
2026-07-10,하이패스 자동결제,68100,4448,정예린
2026-07-10,한솥도시락 역삼,69500,4452,최민서
2026-07-10,한우다이닝 청담,352000,4471,윤채원
2026-07-10,한우다이닝 청담,425000,4423,박도윤
2026-07-10,한우다이닝 청담,512000,4423,박도윤
2026-07-10,한우다이닝 청담,546000,4431,이하준
2026-07-11,SRT 수서역,80700,4502,한지훈
2026-07-11,김가네 선릉점,18000,4518,서준영
2026-07-11,알파문구 선릉,78600,4471,윤채원
2026-07-11,알파문구 선릉,117500,4524,조유나
2026-07-11,코레일 서울역,93500,4502,한지훈
2026-07-11,하남돼지집 삼성점,471000,4471,윤채원
2026-07-12,SRT 수서역,22300,4465,강지호
2026-07-12,명동칼국수 강남점,67000,4496,오하은
2026-07-12,쿠팡비즈,52100,4471,윤채원
2026-07-13,SRT 수서역,10600,4496,오하은
2026-07-13,SRT 수서역,87800,4471,윤채원
2026-07-13,교보문고 광화문,150400,4423,박도윤
2026-07-13,교보문고 광화문,213900,4471,윤채원
2026-07-13,교보문고 광화문,216200,4417,김서연
2026-07-13,김가네 선릉점,54000,4452,최민서
2026-07-13,다이소 역삼점,24500,4524,조유나
2026-07-13,라마다 대전,125000,4496,오하은
2026-07-13,명동칼국수 강남점,21000,4417,김서연
2026-07-13,미도인 역삼,50500,4496,오하은
2026-07-13,미도인 역삼,56500,4448,정예린
2026-07-13,미도인 역삼,84000,4423,박도윤
2026-07-13,미도인 역삼,88000,4483,임시우
2026-07-13,본죽 삼성점,68500,4483,임시우
2026-07-13,본죽 삼성점,76000,4483,임시우
2026-07-13,삼원가든 신사,245000,4452,최민서
2026-07-13,삼원가든 신사,564000,4448,정예린
2026-07-13,서브웨이 강남파이낸스,16500,4423,박도윤
2026-07-13,서브웨이 강남파이낸스,27000,4483,임시우
2026-07-13,서브웨이 강남파이낸스,63000,4448,정예린
2026-07-13,스시조 소공,503000,4502,한지훈
2026-07-13,스시조 소공,515000,4524,조유나
2026-07-13,스타벅스 삼성점,21000,4524,조유나
2026-07-13,스타벅스 삼성점,32500,4471,윤채원
2026-07-13,스타벅스 삼성점,71500,4471,윤채원
2026-07-13,스타벅스 삼성점,80500,4483,임시우
2026-07-13,신라스테이 역삼,117000,4496,오하은
2026-07-13,알파문구 선릉,54400,4518,서준영
2026-07-13,알파문구 선릉,133500,4483,임시우
2026-07-13,영풍문고 종로,180000,4471,윤채원
2026-07-13,오피스디포 강남점,120700,4448,정예린
2026-07-13,이디야커피 역삼점,49500,4448,정예린
2026-07-13,이디야커피 역삼점,63500,4452,최민서
2026-07-13,이디야커피 역삼점,64500,4417,김서연
2026-07-13,인프런,109200,4524,조유나
2026-07-13,인프런,322800,4471,윤채원
2026-07-13,인프런,324700,4417,김서연
2026-07-13,일렉트로마트 강남,15000,4431,이하준
2026-07-13,일렉트로마트 강남,75700,4431,이하준
2026-07-13,코레일 서울역,75800,4471,윤채원
2026-07-13,쿠팡비즈,115000,4524,조유나
2026-07-13,쿠팡비즈,122400,4465,강지호
2026-07-13,투썸플레이스 선릉점,8500,4452,최민서
2026-07-13,투썸플레이스 선릉점,9500,4483,임시우
2026-07-13,투썸플레이스 선릉점,89500,4524,조유나
2026-07-13,티머니 충전,33200,4448,정예린
2026-07-13,티머니 충전,72100,4524,조유나
2026-07-13,티머니 충전,90300,4465,강지호
2026-07-13,파킹클라우드 역삼,29300,4452,최민서
2026-07-13,파킹클라우드 역삼,62100,4471,윤채원
2026-07-13,하남돼지집 삼성점,301000,4483,임시우
2026-07-13,하이패스 자동결제,88100,4471,윤채원
2026-07-14,교보문고 광화문,16700,4483,임시우
2026-07-14,라마다 대전,92000,4448,정예린
2026-07-14,라마다 대전,101000,4496,오하은
2026-07-14,라마다 대전,139000,4471,윤채원
2026-07-14,명동칼국수 강남점,55500,4483,임시우
2026-07-14,베스트웨스턴 구로,137000,4471,윤채원
2026-07-14,본죽 삼성점,42000,4524,조유나
2026-07-14,본죽 삼성점,76500,4502,한지훈
2026-07-14,본죽 삼성점,88500,4502,한지훈
2026-07-14,서브웨이 강남파이낸스,42500,4496,오하은
2026-07-14,서울개인택시조합,94400,4496,오하은
2026-07-14,스타벅스 삼성점,42500,4471,윤채원
2026-07-14,스타벅스 삼성점,58500,4448,정예린
2026-07-14,이디야커피 역삼점,49500,4431,이하준
2026-07-14,이디야커피 역삼점,68000,4471,윤채원
2026-07-14,일렉트로마트 강남,95500,4471,윤채원
2026-07-14,청담물갈비,222000,4417,김서연
2026-07-14,코레일 서울역,14300,4452,최민서
2026-07-14,코레일 서울역,30600,4483,임시우
2026-07-14,쿠팡비즈,42600,4448,정예린
2026-07-14,쿠팡비즈,133100,4452,최민서
2026-07-14,투썸플레이스 선릉점,17000,4423,박도윤
2026-07-14,투썸플레이스 선릉점,22000,4431,이하준
2026-07-14,투썸플레이스 선릉점,30500,4417,김서연
2026-07-14,투썸플레이스 선릉점,41000,4496,오하은
2026-07-14,파킹클라우드 역삼,79500,4452,최민서
2026-07-14,파킹클라우드 역삼,88000,4431,이하준
2026-07-14,하이패스 자동결제,42200,4417,김서연
2026-07-14,하이패스 자동결제,47800,4483,임시우
2026-07-14,하이패스 자동결제,69500,4448,정예린
2026-07-14,한솥도시락 역삼,90000,4431,이하준
2026-07-15,SRT 수서역,57700,4496,오하은
2026-07-15,광화문곱창 강남,449000,4448,정예린
2026-07-15,교보문고 광화문,145200,4465,강지호
2026-07-15,교보문고 광화문,265200,4518,서준영
2026-07-15,김가네 선릉점,26000,4496,오하은
2026-07-15,김밥천국 역삼점,21000,4448,정예린
2026-07-15,라마다 대전,96000,4524,조유나
2026-07-15,명동칼국수 강남점,28000,4431,이하준
2026-07-15,미도인 역삼,20500,4502,한지훈
2026-07-15,미도인 역삼,61500,4465,강지호
2026-07-15,베스트웨스턴 구로,109000,4524,조유나
2026-07-15,본죽 삼성점,28000,4417,김서연
2026-07-15,본죽 삼성점,85000,4465,강지호
2026-07-15,서브웨이 강남파이낸스,26000,4423,박도윤
2026-07-15,스타벅스 삼성점,20000,4431,이하준
2026-07-15,신라스테이 역삼,130000,4423,박도윤
2026-07-15,신라스테이 역삼,168000,4452,최민서
2026-07-15,알라딘 중고서점 강남,169200,4465,강지호
2026-07-15,알파문구 선릉,105400,4423,박도윤
2026-07-15,역삼포차,206000,4448,정예린
2026-07-15,영풍문고 종로,199500,4431,이하준
2026-07-15,영풍문고 종로,264900,4524,조유나
2026-07-15,카카오T 블루,35000,4524,조유나
2026-07-15,카카오T 블루,77600,4496,오하은
2026-07-15,카카오T 블루,80600,4502,한지훈
2026-07-15,코레일 서울역,95000,4448,정예린
2026-07-15,쿠팡비즈,69400,4431,이하준
2026-07-15,쿠팡비즈,77800,4465,강지호
2026-07-15,쿠팡비즈,93400,4423,박도윤
2026-07-15,투썸플레이스 선릉점,23500,4448,정예린
2026-07-15,투썸플레이스 선릉점,43000,4423,박도윤
2026-07-15,하이패스 자동결제,52700,4524,조유나
2026-07-15,하이패스 자동결제,55800,4524,조유나
2026-07-15,하이패스 자동결제,76600,4502,한지훈
2026-07-15,한솥도시락 역삼,72000,4423,박도윤
2026-07-15,한우다이닝 청담,613000,4417,김서연
2026-07-15,호텔현대 울산,115000,4502,한지훈
2026-07-16,교보문고 광화문,175600,4423,박도윤
2026-07-16,김가네 선릉점,20000,4423,박도윤
2026-07-16,김가네 선릉점,56000,4465,강지호
2026-07-16,김밥천국 역삼점,9000,4417,김서연
2026-07-16,다이소 역삼점,18400,4448,정예린
2026-07-16,다이소 역삼점,119200,4452,최민서
2026-07-16,라마다 대전,134000,4496,오하은
2026-07-16,명동칼국수 강남점,33500,4465,강지호
2026-07-16,명동칼국수 강남점,44000,4524,조유나
2026-07-16,미도인 역삼,17000,4465,강지호
2026-07-16,미도인 역삼,37000,4483,임시우
2026-07-16,본죽 삼성점,36500,4502,한지훈
2026-07-16,스시조 소공,611000,4417,김서연
2026-07-16,스타벅스 삼성점,8500,4452,최민서
2026-07-16,스타벅스 삼성점,82500,4496,오하은
2026-07-16,알라딘 중고서점 강남,210200,4502,한지훈
2026-07-16,알파문구 선릉,42800,4502,한지훈
2026-07-16,역삼포차,190000,4452,최민서
2026-07-16,영풍문고 종로,58100,4471,윤채원
2026-07-16,이디야커피 역삼점,31500,4502,한지훈
2026-07-16,이디야커피 역삼점,46500,4471,윤채원
2026-07-16,이디야커피 역삼점,67000,4518,서준영
2026-07-16,인프런,32600,4465,강지호
2026-07-16,일렉트로마트 강남,7100,4452,최민서
2026-07-16,일렉트로마트 강남,50600,4496,오하은
2026-07-16,코레일 서울역,13800,4452,최민서
2026-07-16,투썸플레이스 선릉점,34000,4502,한지훈
2026-07-16,투썸플레이스 선릉점,51000,4483,임시우
2026-07-16,투썸플레이스 선릉점,53000,4483,임시우
2026-07-16,투썸플레이스 선릉점,70000,4465,강지호
2026-07-16,티머니 충전,34000,4465,강지호
2026-07-16,파킹클라우드 역삼,20200,4423,박도윤
2026-07-16,파킹클라우드 역삼,55400,4502,한지훈
2026-07-16,하이패스 자동결제,65800,4465,강지호
2026-07-16,한솥도시락 역삼,53000,4471,윤채원
2026-07-16,한우다이닝 청담,254000,4423,박도윤
2026-07-17,SRT 수서역,33600,4417,김서연
2026-07-17,광화문곱창 강남,177000,4431,이하준
2026-07-17,김가네 선릉점,11500,4431,이하준
2026-07-17,김가네 선릉점,42000,4471,윤채원
2026-07-17,김밥천국 역삼점,39000,4431,이하준
