승인일자,가맹점,금액,제출자,증빙파일명
2026-07-06,오피스디포 강남점,12000,강지호,RC-202607-0126.jpg
2026-07-06,서브웨이 강남파이낸스,76000,강지호,RC-202607-0127.jpg
2026-07-06,미도인 역삼,84500,강지호,RC-202607-0128.jpg
2026-07-06,투썸플레이스 선릉점,26500,김서연,RC-202607-0129.jpg
2026-07-06,명동칼국수 강남점,47000,김서연,RC-202607-0130.jpg
2026-07-06,카카오T 블루,85000,김서연,RC-202607-0131.jpg
2026-07-06,역삼포차,367000,김서연,RC-202607-0132.jpg
2026-07-06,알파문구 선릉,10400,박도윤,RC-202607-0133.jpg
2026-07-06,한솥도시락 역삼,43500,박도윤,RC-202607-0134.jpg
2026-07-06,교보문고 광화문,325700,박도윤,RC-202607-0135.jpg
2026-07-06,명동칼국수 강남점,22000,서준영,RC-202607-0136.jpg
2026-07-06,이디야커피 역삼점,41000,서준영,RC-202607-0137.jpg
2026-07-06,본죽 삼성점,52500,서준영,RC-202607-0138.jpg
2026-07-06,코레일 서울역,84200,서준영,RC-202607-0139.jpg
2026-07-06,교보문고 광화문,298100,서준영,RC-202607-0140.jpg
2026-07-06,서울개인택시조합,5700,오하은,RC-202607-0141.jpg
2026-07-06,한솥도시락 역삼,17000,오하은,RC-202607-0142.jpg
2026-07-06,명동칼국수 강남점,41500,오하은,RC-202607-0143.jpg
2026-07-06,명동칼국수 강남점,48000,오하은,RC-202607-0144.jpg
2026-07-06,미도인 역삼,80500,오하은,RC-202607-0145.jpg
2026-07-06,명동칼국수 강남점,87000,오하은,RC-202607-0146.jpg
2026-07-06,역삼포차,218000,오하은,RC-202607-0147.jpg
2026-07-06,한우다이닝 청담,351000,오하은,RC-202607-0148.jpg
2026-07-06,광화문곱창 강남,457000,오하은,RC-202607-0149.jpg
2026-07-06,김가네 선릉점,30500,윤채원,RC-202607-0150.jpg
2026-07-06,스타벅스 삼성점,38000,윤채원,RC-202607-0151.jpg
2026-07-06,미도인 역삼,31000,이하준,RC-202607-0152.jpg
2026-07-06,본죽 삼성점,42500,이하준,RC-202607-0153.jpg
2026-07-06,SRT 수서역,88800,이하준,RC-202607-0154.jpg
2026-07-06,일렉트로마트 강남,97700,이하준,RC-202607-0155.jpg
2026-07-06,김가네 선릉점,37000,임시우,RC-202607-0156.jpg
2026-07-06,삼원가든 신사,403000,임시우,RC-202607-0157.jpg
2026-07-06,서울개인택시조합,11200,정예린,RC-202607-0158.jpg
2026-07-06,파킹클라우드 역삼,48400,정예린,RC-202607-0159.jpg
2026-07-06,김밥천국 역삼점,51000,정예린,RC-202607-0160.jpg
2026-07-06,SRT 수서역,51500,정예린,RC-202607-0161.jpg
2026-07-06,오피스디포 강남점,56600,정예린,RC-202607-0162.jpg
2026-07-06,오피스디포 강남점,56600,정예린,RC-202607-0163.jpg
2026-07-06,하이패스 자동결제,77100,정예린,RC-202607-0164.jpg
2026-07-06,SRT 수서역,84800,정예린,RC-202607-0165.jpg
2026-07-06,하남돼지집 삼성점,432000,정예린,RC-202607-0166.jpg
2026-07-06,한솥도시락 역삼,75500,최민서,RC-202607-0167.jpg
2026-07-06,영풍문고 종로,173900,최민서,RC-202607-0168.jpg
2026-07-06,역삼포차,268000,최민서,RC-202607-0169.jpg
2026-07-06,한우다이닝 청담,285000,최민서,RC-202607-0170.jpg
2026-07-06,다이소 역삼점,16700,한지훈,RC-202607-0171.jpg
2026-07-06,한솥도시락 역삼,86000,한지훈,RC-202607-0172.jpg
2026-07-06,파킹클라우드 역삼,96000,한지훈,RC-202607-0173.jpg
2026-07-06,일렉트로마트 강남,109300,한지훈,RC-202607-0174.jpg
2026-07-06,영풍문고 종로,222600,한지훈,RC-202607-0175.jpg
2026-07-07,알파문구 선릉,31700,강지호,RC-202607-0176.jpg
2026-07-07,하남돼지집 삼성점,200000,강지호,RC-202607-0177.jpg
2026-07-07,본죽 삼성점,50000,김서연,RC-202607-0178.jpg
2026-07-07,한솥도시락 역삼,52500,김서연,RC-202607-0179.jpg
2026-07-07,서브웨이 강남파이낸스,59000,김서연,RC-202607-0180.jpg
2026-07-07,티머니 충전,71500,박도윤,RC-202607-0181.jpg
2026-07-07,김밥천국 역삼점,86000,박도윤,RC-202607-0182.jpg
2026-07-07,김가네 선릉점,8500,서준영,RC-202607-0183.jpg
2026-07-07,서브웨이 강남파이낸스,56000,서준영,RC-202607-0184.jpg
2026-07-07,스타벅스 삼성점,80500,서준영,RC-202607-0185.jpg
2026-07-07,다이소 역삼점,90900,서준영,RC-202607-0186.jpg
2026-07-07,하남돼지집 삼성점,168000,서준영,RC-202607-0187.jpg
2026-07-07,스시조 소공,450000,서준영,RC-202607-0188.jpg
2026-07-07,카카오T 블루,6600,오하은,RC-202607-0189.jpg
2026-07-07,인프런,43400,오하은,RC-202607-0190.jpg
2026-07-07,김가네 선릉점,45000,오하은,RC-202607-0191.jpg
2026-07-07,서울개인택시조합,80000,오하은,RC-202607-0192.jpg
2026-07-07,한우다이닝 청담,532000,오하은,RC-202607-0193.jpg
2026-07-07,SRT 수서역,49600,윤채원,RC-202607-0194.jpg
2026-07-07,한솥도시락 역삼,83500,윤채원,RC-202607-0195.jpg
2026-07-07,하이패스 자동결제,95700,윤채원,RC-202607-0196.jpg
2026-07-07,역삼포차,323000,이하준,RC-202607-0197.jpg
2026-07-07,스시조 소공,612000,이하준,RC-202607-0198.jpg
2026-07-07,다이소 역삼점,31000,임시우,RC-202607-0199.jpg
2026-07-07,한솥도시락 역삼,64500,임시우,RC-202607-0200.jpg
2026-07-07,코레일 서울역,34400,정예린,RC-202607-0201.jpg
2026-07-07,다이소 역삼점,58500,정예린,RC-202607-0202.jpg
2026-07-07,파킹클라우드 역삼,82400,정예린,RC-202607-0203.jpg
2026-07-07,스타벅스 삼성점,7000,조유나,RC-202607-0204.jpg
2026-07-07,티머니 충전,52000,조유나,RC-202607-0205.jpg
2026-07-07,다이소 역삼점,102100,조유나,RC-202607-0206.jpg
2026-07-07,일렉트로마트 강남,111100,조유나,RC-202607-0207.jpg
2026-07-07,베스트웨스턴 구로,132000,조유나,RC-202607-0208.jpg
2026-07-07,이디야커피 역삼점,19500,최민서,RC-202607-0209.jpg
2026-07-07,티머니 충전,48500,최민서,RC-202607-0210.jpg
2026-07-07,미도인 역삼,13000,한지훈,RC-202607-0211.jpg
2026-07-07,김밥천국 역삼점,18000,한지훈,RC-202607-0212.jpg
2026-07-08,티머니 충전,47800,강지호,RC-202607-0213.jpg
2026-07-08,SRT 수서역,50200,강지호,RC-202607-0214.jpg
2026-07-08,명동칼국수 강남점,78500,강지호,RC-202607-0215.jpg
2026-07-08,오피스디포 강남점,87900,강지호,RC-202607-0216.jpg
2026-07-08,이디야커피 역삼점,15000,김서연,RC-202607-0217.jpg
2026-07-08,서브웨이 강남파이낸스,71000,김서연,RC-202607-0218.jpg
2026-07-08,베스트웨스턴 구로,88000,김서연,RC-202607-0219.jpg
2026-07-08,하남돼지집 삼성점,479000,김서연,RC-202607-0220.jpg
2026-07-08,한솥도시락 역삼,12500,박도윤,RC-202607-0221.jpg
2026-07-08,하이패스 자동결제,20200,박도윤,RC-202607-0222.jpg
2026-07-08,한솥도시락 역삼,38500,박도윤,RC-202607-0223.jpg
2026-07-08,하이패스 자동결제,42800,박도윤,RC-202607-0224.jpg
2026-07-08,티머니 충전,48400,박도윤,RC-202607-0225.jpg
2026-07-08,스타벅스 삼성점,57500,박도윤,RC-202607-0226.jpg
2026-07-08,하이패스 자동결제,29500,서준영,RC-202607-0227.jpg
2026-07-08,이디야커피 역삼점,62000,서준영,RC-202607-0228.jpg
2026-07-08,오피스디포 강남점,123000,서준영,RC-202607-0229.jpg
2026-07-08,스타벅스 삼성점,45500,오하은,RC-202607-0230.jpg
2026-07-08,김밥천국 역삼점,77500,오하은,RC-202607-0231.jpg
2026-07-08,김밥천국 역삼점,88000,오하은,RC-202607-0232.jpg
2026-07-08,스타벅스 삼성점,13500,윤채원,RC-202607-0233.jpg
2026-07-08,명동칼국수 강남점,18500,윤채원,RC-202607-0234.jpg
2026-07-08,카카오T 블루,38900,윤채원,RC-202607-0235.jpg
2026-07-08,본죽 삼성점,70500,윤채원,RC-202607-0236.jpg
2026-07-08,한솥도시락 역삼,75500,윤채원,RC-202607-0237.jpg
2026-07-08,코레일 서울역,81600,윤채원,RC-202607-0238.jpg
2026-07-08,스시조 소공,286000,윤채원,RC-202607-0239.jpg
2026-07-08,본죽 삼성점,11500,이하준,RC-202607-0240.jpg
2026-07-08,명동칼국수 강남점,67000,이하준,RC-202607-0241.jpg
2026-07-08,스타벅스 삼성점,25000,임시우,RC-202607-0242.jpg
2026-07-08,미도인 역삼,46500,정예린,RC-202607-0243.jpg
2026-07-08,서울개인택시조합,75700,정예린,RC-202607-0244.jpg
2026-07-08,하이패스 자동결제,61400,조유나,RC-202607-0245.jpg
2026-07-08,하이패스 자동결제,7600,최민서,RC-202607-0246.jpg
2026-07-08,본죽 삼성점,11000,최민서,RC-202607-0247.jpg
2026-07-08,서울개인택시조합,34400,최민서,RC-202607-0248.jpg
2026-07-08,일렉트로마트 강남,63300,최민서,RC-202607-0249.jpg
2026-07-08,SRT 수서역,87100,최민서,RC-202607-0250.jpg
2026-07-08,한솥도시락 역삼,7500,한지훈,RC-202607-0251.jpg
2026-07-08,김밥천국 역삼점,26500,한지훈,RC-202607-0252.jpg
2026-07-08,알파문구 선릉,51800,한지훈,RC-202607-0253.jpg
2026-07-08,하남돼지집 삼성점,334000,한지훈,RC-202607-0254.jpg
2026-07-09,코레일 서울역,8400,강지호,RC-202607-0255.jpg
2026-07-09,쿠팡비즈,24100,강지호,RC-202607-0256.jpg
2026-07-09,김밥천국 역삼점,58500,강지호,RC-202607-0257.jpg
2026-07-09,파킹클라우드 역삼,92400,강지호,RC-202607-0258.jpg
2026-07-09,영풍문고 종로,126400,강지호,RC-202607-0259.jpg
2026-07-09,하남돼지집 삼성점,132000,강지호,RC-202607-0260.jpg
2026-07-09,파킹클라우드 역삼,63000,김서연,RC-202607-0261.jpg
2026-07-09,라마다 대전,95000,김서연,RC-202607-0262.jpg
2026-07-09,호텔현대 울산,108000,김서연,RC-202607-0263.jpg
2026-07-09,투썸플레이스 선릉점,8000,박도윤,RC-202607-0264.jpg
2026-07-09,본죽 삼성점,12500,박도윤,RC-202607-0265.jpg
2026-07-09,카카오T 블루,21400,박도윤,RC-202607-0266.jpg
2026-07-09,다이소 역삼점,38100,박도윤,RC-202607-0267.jpg
2026-07-09,SRT 수서역,41700,박도윤,RC-202607-0268.jpg
2026-07-09,스타벅스 삼성점,80000,박도윤,RC-202607-0269.jpg
2026-07-09,이디야커피 역삼점,86500,박도윤,RC-202607-0270.jpg
2026-07-09,알파문구 선릉,97100,박도윤,RC-202607-0271.jpg
2026-07-09,인프런,195400,박도윤,RC-202607-0272.jpg
2026-07-09,인프런,199800,박도윤,RC-202607-0273.jpg
2026-07-09,투썸플레이스 선릉점,64500,서준영,RC-202607-0274.jpg
2026-07-09,오피스디포 강남점,127600,서준영,RC-202607-0275.jpg
2026-07-09,카카오T 블루,48700,오하은,RC-202607-0276.jpg
2026-07-09,투썸플레이스 선릉점,52500,오하은,RC-202607-0277.jpg
2026-07-09,코레일 서울역,55700,오하은,RC-202607-0278.jpg
2026-07-09,스시조 소공,282000,오하은,RC-202607-0279.jpg
2026-07-09,알라딘 중고서점 강남,312200,오하은,RC-202607-0280.jpg
2026-07-09,이디야커피 역삼점,11500,윤채원,RC-202607-0281.jpg
2026-07-09,카카오T 블루,34700,윤채원,RC-202607-0282.jpg
2026-07-09,이디야커피 역삼점,63500,윤채원,RC-202607-0283.jpg
2026-07-09,다이소 역삼점,126600,윤채원,RC-202607-0284.jpg
2026-07-09,역삼포차,277000,윤채원,RC-202607-0285.jpg
2026-07-09,김가네 선릉점,35500,이하준,RC-202607-0286.jpg
2026-07-09,미도인 역삼,55500,이하준,RC-202607-0287.jpg
2026-07-09,김밥천국 역삼점,74500,이하준,RC-202607-0288.jpg
2026-07-09,알라딘 중고서점 강남,249100,이하준,RC-202607-0289.jpg
2026-07-09,코레일 서울역,31900,임시우,RC-202607-0290.jpg
2026-07-09,하이패스 자동결제,38500,임시우,RC-202607-0291.jpg
2026-07-09,이디야커피 역삼점,40500,임시우,RC-202607-0292.jpg
2026-07-09,스타벅스 삼성점,90500,임시우,RC-202607-0293.jpg
2026-07-09,호텔현대 울산,114000,임시우,RC-202607-0294.jpg
2026-07-09,청담물갈비,410000,임시우,RC-202607-0295.jpg
2026-07-09,오피스디포 강남점,76700,정예린,RC-202607-0296.jpg
2026-07-09,코레일 서울역,13200,조유나,RC-202607-0297.jpg
2026-07-09,광화문곱창 강남,284000,조유나,RC-202607-0298.jpg
2026-07-09,카카오T 블루,50500,최민서,RC-202607-0299.jpg
2026-07-09,서브웨이 강남파이낸스,66500,최민서,RC-202607-0300.jpg
2026-07-09,서울개인택시조합,87400,최민서,RC-202607-0301.jpg
2026-07-09,일렉트로마트 강남,103500,최민서,RC-202607-0302.jpg
2026-07-09,역삼포차,411000,한지훈,RC-202607-0303.jpg
2026-07-10,투썸플레이스 선릉점,34000,강지호,RC-202607-0304.jpg
2026-07-10,코레일 서울역,71300,강지호,RC-202607-0305.jpg
2026-07-10,청담물갈비,177000,강지호,RC-202607-0306.jpg
2026-07-10,삼원가든 신사,391000,강지호,RC-202607-0307.jpg
2026-07-10,본죽 삼성점,54500,김서연,RC-202607-0308.jpg
2026-07-10,서울개인택시조합,80200,박도윤,RC-202607-0309.jpg
2026-07-10,스타벅스 삼성점,92000,박도윤,RC-202607-0310.jpg
2026-07-10,한우다이닝 청담,425000,박도윤,RC-202607-0311.jpg
2026-07-10,한우다이닝 청담,512000,박도윤,RC-202607-0312.jpg
2026-07-10,오피스디포 강남점,6400,서준영,RC-202607-0313.jpg
2026-07-10,파킹클라우드 역삼,43500,서준영,RC-202607-0314.jpg
2026-07-10,카카오T 블루,46100,서준영,RC-202607-0315.jpg
2026-07-10,쿠팡비즈,9800,오하은,RC-202607-0316.jpg
2026-07-10,본죽 삼성점,48500,오하은,RC-202607-0317.jpg
2026-07-10,파킹클라우드 역삼,52500,오하은,RC-202607-0318.jpg
2026-07-10,서브웨이 강남파이낸스,8000,윤채원,RC-202607-0319.jpg
2026-07-10,카카오T 블루,26900,윤채원,RC-202607-0320.jpg
2026-07-10,하이패스 자동결제,46300,윤채원,RC-202607-0321.jpg
2026-07-10,SRT 수서역,72900,윤채원,RC-202607-0322.jpg
2026-07-10,한우다이닝 청담,352000,윤채원,RC-202607-0323.jpg
2026-07-10,파킹클라우드 역삼,20200,이하준,RC-202607-0324.jpg
2026-07-10,김가네 선릉점,29500,이하준,RC-202607-0325.jpg
2026-07-10,코레일 서울역,80400,이하준,RC-202607-0326.jpg
2026-07-10,한우다이닝 청담,546000,이하준,RC-202607-0327.jpg
2026-07-10,명동칼국수 강남점,29000,임시우,RC-202607-0328.jpg
2026-07-10,오피스디포 강남점,65100,임시우,RC-202607-0329.jpg
2026-07-10,다이소 역삼점,111000,임시우,RC-202607-0330.jpg
2026-07-10,하이패스 자동결제,68100,정예린,RC-202607-0331.jpg
2026-07-10,알라딘 중고서점 강남,202800,정예린,RC-202607-0332.jpg
2026-07-10,오피스디포 강남점,26200,조유나,RC-202607-0333.jpg
2026-07-10,본죽 삼성점,37000,조유나,RC-202607-0334.jpg
2026-07-10,스타벅스 삼성점,67000,조유나,RC-202607-0335.jpg
2026-07-10,명동칼국수 강남점,78000,조유나,RC-202607-0336.jpg
2026-07-10,스타벅스 삼성점,43500,최민서,RC-202607-0337.jpg
2026-07-10,서브웨이 강남파이낸스,59500,최민서,RC-202607-0338.jpg
2026-07-10,한솥도시락 역삼,69500,최민서,RC-202607-0339.jpg
2026-07-10,일렉트로마트 강남,27700,한지훈,RC-202607-0340.jpg
2026-07-10,코레일 서울역,44900,한지훈,RC-202607-0341.jpg
2026-07-10,스타벅스 삼성점,87000,한지훈,RC-202607-0342.jpg
2026-07-10,청담물갈비,186000,한지훈,RC-202607-0343.jpg
2026-07-10,역삼포차,214000,한지훈,RC-202607-0344.jpg
2026-07-11,김가네 선릉점,18000,서준영,RC-202607-0345.jpg
2026-07-11,알파문구 선릉,78600,윤채원,RC-202607-0346.jpg
2026-07-11,하남돼지집 삼성점,471000,윤채원,RC-202607-0347.jpg
2026-07-11,알파문구 선릉,117500,조유나,RC-202607-0348.jpg
2026-07-11,SRT 수서역,80700,한지훈,RC-202607-0349.jpg
2026-07-11,코레일 서울역,93500,한지훈,RC-202607-0350.jpg
2026-07-12,SRT 수서역,22300,강지호,RC-202607-0351.jpg
2026-07-12,명동칼국수 강남점,67000,오하은,RC-202607-0352.jpg
2026-07-12,쿠팡비즈,52100,윤채원,RC-202607-0353.jpg
2026-07-13,티머니 충전,90300,강지호,RC-202607-0354.jpg
2026-07-13,쿠팡비즈,122400,강지호,RC-202607-0355.jpg
2026-07-13,명동칼국수 강남점,21000,김서연,RC-202607-0356.jpg
2026-07-13,이디야커피 역삼점,64500,김서연,RC-202607-0357.jpg
2026-07-13,교보문고 광화문,216200,김서연,RC-202607-0358.jpg
2026-07-13,인프런,324700,김서연,RC-202607-0359.jpg
2026-07-13,서브웨이 강남파이낸스,16500,박도윤,RC-202607-0360.jpg
2026-07-13,미도인 역삼,84000,박도윤,RC-202607-0361.jpg
2026-07-13,교보문고 광화문,150400,박도윤,RC-202607-0362.jpg
2026-07-13,알파문구 선릉,54400,서준영,RC-202607-0363.jpg
2026-07-13,SRT 수서역,10600,오하은,RC-202607-0364.jpg
2026-07-13,미도인 역삼,50500,오하은,RC-202607-0365.jpg
2026-07-13,신라스테이 역삼,117000,오하은,RC-202607-0366.jpg
2026-07-13,라마다 대전,125000,오하은,RC-202607-0367.jpg
2026-07-13,스타벅스 삼성점,32500,윤채원,RC-202607-0368.jpg
2026-07-13,파킹클라우드 역삼,62100,윤채원,RC-202607-0369.jpg
2026-07-13,스타벅스 삼성점,71500,윤채원,RC-202607-0370.jpg
2026-07-13,코레일 서울역,75800,윤채원,RC-202607-0371.jpg
2026-07-13,SRT 수서역,87800,윤채원,RC-202607-0372.jpg
2026-07-13,하이패스 자동결제,88100,윤채원,RC-202607-0373.jpg
2026-07-13,영풍문고 종로,180000,윤채원,RC-202607-0374.jpg
2026-07-13,교보문고 광화문,213900,윤채원,RC-202607-0375.jpg
2026-07-13,인프런,322800,윤채원,RC-202607-0376.jpg
2026-07-13,일렉트로마트 강남,15000,이하준,RC-202607-0377.jpg
